GEOID;NAME;poverty_estE;poverty_estM;poverty_und1E;poverty_und1M
19001;Adair County, Iowa;1607;64;201;88
19003;Adams County, Iowa;764;37;56;54
19005;Allamakee County, Iowa;3270;63;461;119
19007;Appanoose County, Iowa;2509;86;717;280
19009;Audubon County, Iowa;1210;46;228;106
19011;Benton County, Iowa;5317;211;327;123
19013;Black Hawk County, Iowa;27466;384;4407;676
19015;Boone County, Iowa;5247;104;328;154
19017;Bremer County, Iowa;5556;58;428;177
19019;Buchanan County, Iowa;5233;59;296;119
19021;Buena Vista County, Iowa;5372;62;503;235
19023;Butler County, Iowa;3084;76;460;161
19025;Calhoun County, Iowa;2089;34;160;52
19027;Carroll County, Iowa;4932;82;262;117
19029;Cass County, Iowa;2982;113;824;225
19031;Cedar County, Iowa;3753;103;285;135
19033;Cerro Gordo County, Iowa;8555;175;851;298
19035;Cherokee County, Iowa;2478;56;617;279
19037;Chickasaw County, Iowa;2640;111;115;68
19039;Clarke County, Iowa;2320;103;574;298
19041;Clay County, Iowa;3677;96;698;210
19043;Clayton County, Iowa;3565;59;560;243
19045;Clinton County, Iowa;9803;248;1653;495
19047;Crawford County, Iowa;3945;137;987;335
19049;Dallas County, Iowa;27608;153;1514;381
19051;Davis County, Iowa;2653;49;228;145
19053;Decatur County, Iowa;1617;70;303;101
19055;Delaware County, Iowa;4061;47;222;93
19057;Des Moines County, Iowa;7852;258;1460;353
19059;Dickinson County, Iowa;3358;99;198;109
19061;Dubuque County, Iowa;21754;199;1931;531
19063;Emmet County, Iowa;1693;65;262;144
19065;Fayette County, Iowa;4017;67;543;150
19067;Floyd County, Iowa;3431;72;536;197
19069;Franklin County, Iowa;2377;84;557;195
19071;Fremont County, Iowa;1360;43;86;54
19073;Greene County, Iowa;1740;79;182;122
19075;Grundy County, Iowa;2843;54;190;75
19077;Guthrie County, Iowa;2218;26;306;99
19079;Hamilton County, Iowa;3092;232;206;101
19081;Hancock County, Iowa;2224;60;345;129
19083;Hardin County, Iowa;3042;43;304;120
19085;Harrison County, Iowa;3316;34;325;114
19087;Henry County, Iowa;4012;96;603;180
19089;Howard County, Iowa;2313;53;226;99
19091;Humboldt County, Iowa;2161;53;423;165
19093;Ida County, Iowa;1620;42;132;69
19095;Iowa County, Iowa;3820;90;482;224
19097;Jackson County, Iowa;4204;122;503;208
19099;Jasper County, Iowa;7908;160;790;228
19101;Jefferson County, Iowa;2609;85;461;233
19103;Johnson County, Iowa;29401;273;3149;576
19105;Jones County, Iowa;4079;172;542;199
19107;Keokuk County, Iowa;2151;64;236;90
19109;Kossuth County, Iowa;3156;68;391;144
19111;Lee County, Iowa;6573;198;1130;327
19113;Linn County, Iowa;50157;464;5670;1071
19115;Louisa County, Iowa;2300;60;334;123
19117;Lucas County, Iowa;1899;99;381;127
19119;Lyon County, Iowa;3347;86;161;100
19121;Madison County, Iowa;4038;135;283;180
19123;Mahaska County, Iowa;5118;103;649;220
19125;Marion County, Iowa;7474;176;401;172
19127;Marshall County, Iowa;9625;196;1508;471
19129;Mills County, Iowa;3319;61;173;101
19131;Mitchell County, Iowa;2347;135;45;37
19133;Monona County, Iowa;1860;42;247;109
19135;Monroe County, Iowa;1681;62;169;133
19137;Montgomery County, Iowa;2227;56;354;202
19139;Muscatine County, Iowa;9931;147;1388;388
19141;O'Brien County, Iowa;3349;68;629;177
19143;Osceola County, Iowa;1398;56;461;143
19145;Page County, Iowa;2741;121;382;159
19147;Palo Alto County, Iowa;1973;72;373;141
19149;Plymouth County, Iowa;6250;74;517;227
19151;Pocahontas County, Iowa;1562;34;97;54
19153;Polk County, Iowa;117299;664;14726;1271
19155;Pottawattamie County, Iowa;20691;211;2889;571
19157;Poweshiek County, Iowa;3500;106;301;118
19159;Ringgold County, Iowa;1042;28;129;86
19161;Sac County, Iowa;2114;40;222;89
19163;Scott County, Iowa;38462;661;5000;785
19165;Shelby County, Iowa;2629;121;76;45
19167;Sioux County, Iowa;9723;94;530;248
19169;Story County, Iowa;15714;158;1246;337
19171;Tama County, Iowa;3789;62;907;186
19173;Taylor County, Iowa;1336;37;156;58
19175;Union County, Iowa;2795;74;490;186
19177;Van Buren County, Iowa;1650;28;261;143
19179;Wapello County, Iowa;7730;263;1519;457
19181;Warren County, Iowa;12567;225;543;240
19183;Washington County, Iowa;5364;95;623;205
19185;Wayne County, Iowa;1668;44;338;117
19187;Webster County, Iowa;7357;225;931;228
19189;Winnebago County, Iowa;2274;93;271;106
19191;Winneshiek County, Iowa;3730;70;299;162
19193;Woodbury County, Iowa;26074;406;4237;693
19195;Worth County, Iowa;1492;27;156;86
19197;Wright County, Iowa;3252;93;735;175
