GEOID,NAME,variable,estimate,moe
"19073","Greene County, Iowa",B19001A_001,3675.000000000000000,107.000000000000000
"19079","Hamilton County, Iowa",B19001A_001,5839.000000000000000,229.000000000000000
"19169","Story County, Iowa",B19001A_001,32934.000000000000000,605.000000000000000
"19075","Grundy County, Iowa",B19001A_001,5010.000000000000000,115.000000000000000
"19083","Hardin County, Iowa",B19001A_001,6679.000000000000000,209.000000000000000
"19187","Webster County, Iowa",B19001A_001,14259.000000000000000,274.000000000000000
"19099","Jasper County, Iowa",B19001A_001,14102.000000000000000,325.000000000000000
"19127","Marshall County, Iowa",B19001A_001,12986.000000000000000,344.000000000000000
"19153","Polk County, Iowa",B19001A_001,167458.000000000000000,1247.000000000000000
"19049","Dallas County, Iowa",B19001A_001,35691.000000000000000,572.000000000000000
"19015","Boone County, Iowa",B19001A_001,10556.000000000000000,272.000000000000000
